"GUID","householdsTotal","noHeating","yearBuilt","mobHome","oneParent","onePerson","noCar","noInternet","priWater"
"4c07d11e-11cc-851d-e053-ca3ca8c0ca7f",80,2,20,0,12,12,5,15,69
"4c07d11e-147a-851d-e053-ca3ca8c0ca7f",117,4,48,2,19,38,13,29,11
"4c07d11e-0a03-851d-e053-ca3ca8c0ca7f",114,1,13,0,15,41,26,36,7
"4c07d11e-1479-851d-e053-ca3ca8c0ca7f",117,3,9,0,14,25,11,26,4
"4c07d11e-09fb-851d-e053-ca3ca8c0ca7f",80,1,14,0,6,27,7,11,1
"4c07d11d-f661-851d-e053-ca3ca8c0ca7f",128,1,51,1,14,24,11,35,94
"4c07d11e-11cd-851d-e053-ca3ca8c0ca7f",146,1,31,1,15,24,4,33,90
"4c07d11e-11d2-851d-e053-ca3ca8c0ca7f",80,1,24,0,6,12,1,13,76
"4c07d11e-1476-851d-e053-ca3ca8c0ca7f",78,0,3,0,14,27,11,12,0
"4c07d11e-1d8d-851d-e053-ca3ca8c0ca7f",92,0,1,0,13,23,18,25,0
"4c07d11e-1d8c-851d-e053-ca3ca8c0ca7f",112,1,0,0,20,18,21,35,0
"4c07d11e-1d8b-851d-e053-ca3ca8c0ca7f",100,2,0,0,22,23,22,26,0
"4c07d11e-1d8a-851d-e053-ca3ca8c0ca7f",97,0,0,0,19,7,8,3,0
"4c07d11e-1d98-851d-e053-ca3ca8c0ca7f",133,2,67,0,12,33,40,58,0
"4c07d11e-09ef-851d-e053-ca3ca8c0ca7f",72,2,17,0,14,17,13,11,0
"4c07d11e-09f0-851d-e053-ca3ca8c0ca7f",101,6,53,0,16,37,36,36,0
"4c07d11e-1d99-851d-e053-ca3ca8c0ca7f",103,2,54,0,9,33,23,33,1
"4c07d11e-09f9-851d-e053-ca3ca8c0ca7f",93,2,6,0,9,37,28,38,0
"4c07d11e-1477-851d-e053-ca3ca8c0ca7f",93,3,24,0,11,40,29,31,28
"4c07d11d-f705-851d-e053-ca3ca8c0ca7f",65,2,19,0,8,10,3,14,57
"4c07d11e-1478-851d-e053-ca3ca8c0ca7f",137,1,14,0,24,24,14,48,27
"4c07d11e-11d4-851d-e053-ca3ca8c0ca7f",98,1,27,1,10,16,5,31,31
"4c07d11e-11d5-851d-e053-ca3ca8c0ca7f",106,4,22,3,7,23,3,23,79
"4c07d11e-1239-851d-e053-ca3ca8c0ca7f",82,1,14,0,8,6,1,5,51
"4c07d11d-f6ae-851d-e053-ca3ca8c0ca7f",115,3,20,0,8,18,3,21,112
"4c07d11e-1460-851d-e053-ca3ca8c0ca7f",79,1,16,0,13,24,9,23,46
"4c07d11e-12a8-851d-e053-ca3ca8c0ca7f",83,1,12,0,5,19,5,17,21
"4c07d11e-09dc-851d-e053-ca3ca8c0ca7f",95,1,4,0,12,14,5,12,14
"4c07d11d-f757-851d-e053-ca3ca8c0ca7f",75,4,26,0,6,18,6,15,70
"4c07d11d-f6ff-851d-e053-ca3ca8c0ca7f",51,0,24,1,3,15,3,14,46
"4c07d11d-f70b-851d-e053-ca3ca8c0ca7f",126,3,36,3,15,19,10,33,95
"4c07d11e-122c-851d-e053-ca3ca8c0ca7f",135,1,19,1,15,18,3,25,15
"4c07d11d-f703-851d-e053-ca3ca8c0ca7f",94,2,20,2,5,12,1,28,31
"4c07d11e-123d-851d-e053-ca3ca8c0ca7f",109,0,13,0,12,19,3,23,7
"4c07d11e-14ec-851d-e053-ca3ca8c0ca7f",70,1,11,0,15,23,10,19,2
"4c07d11e-12a9-851d-e053-ca3ca8c0ca7f",72,2,18,0,7,13,5,15,52
"4c07d11e-12aa-851d-e053-ca3ca8c0ca7f",64,3,26,0,4,16,3,15,38
"4c07d11e-1da9-851d-e053-ca3ca8c0ca7f",105,1,0,0,21,27,15,32,0
"4c07d11d-f6ad-851d-e053-ca3ca8c0ca7f",91,0,19,4,9,14,2,19,84
